Ticks,Ax,Ay,Az
872585,-1.094994,-0.1660562,0.5763126
872793,-1.250305,-0.3311355,-0.1181929
872993,-0.574359,-0.9094017,0.6251526
873193,-0.9142858,-1.565812,0.46105
873393,-1.28547,-1.252259,0.2295482
873594,-1.16337,-0.2529915,0.4893773
873805,-1.11453,-0.981685,0.04786325
874005,-0.8986569,-1.11453,0.6583639
874205,-0.7013431,-1.991697,0.8019536
874405,-1.182906,-0.8273504,0.2334554
874605,-0.9973139,0.03516484,0.2989011
874816,-0.957265,-0.8468864,0.6827839
875016,-0.9709402,-0.9855922,0.7159951
875216,-0.7081807,-1.991697,1.000244
875416,-0.9094017,-0.6964591,0.3643468
875616,-1.032479,-0.4200244,0.1230769
875826,-0.962149,-0.9709402,0.7335775
876027,-0.9728938,-0.9943834,0.75116
876227,-0.637851,-1.451526,1.025641
876428,-1.101832,-0.5479854,0.2852259
876628,-0.8810745,-0.2139194,0.2949939
876845,-0.6300366,-0.770696,0.8703297
877045,-0.9894994,-1.192674,0.8732601
877245,-0.4542125,-1.33431,0.9992674
877445,-1.148718,-0.8644688,0.38779
877646,-1.28254,-0.03028083,0.5050061
877859,-0.6954823,-0.7863248,0.8400489
878059,-0.8361416,-1.241514,0.5684982
878259,-0.6837607,-1.109646,0.9240538
878459,-1.264957,-0.6622711,0.2910867
878659,-1.063736,-0.1611722,0.7306471
878878,-0.7179487,-0.8654457,0.5958486
879078,-0.559707,-1.986813,0.8693528
879279,-0.8322345,-1.203419,0.6730159
879479,-1.250305,-0.7277167,0.4014652
879679,-1.069597,0.03711844,0.6964591
879891,-0.7599512,-0.947497,0.6525031
880091,-0.3350427,-1.871551,0.9035409
880291,-0.8693528,-1.172161,0.5069597
880491,-1.055922,-0.618315,0.6046398
880691,-1.38022,0.3223443,-0.08009768
880896,-0.5626374,-0.7501832,0.4678876
881097,-0.07423687,-1.769963,0.9211234
881297,-0.9582417,-1.324542,0.5948718
881497,-1.055922,-0.4630037,0.6700855
881698,-1.242491,0.01074481,-0.206105
881917,-0.7550672,-1.100855,0.7599512
882117,-0.6114774,-1.441758,0.6564103
882317,-1.395849,-1.451526,0.5626374
882517,-1.113553,-0.3125763,0.2969475
882717,-1.307937,-0.5147741,-0.01465201
882927,-0.5606838,-0.9943834,0.9357753
883127,-0.6046398,-1.769963,0.4200244
883328,-1.416361,-1.224908,0.2412698
883528,-1.066667,-0.2383394,0.6866911
883729,-1.177045,-0.9338218,0.1738706
883943,-0.7023199,-1.424176,0.8664225
884144,-0.6886447,-1.989744,1.01685
884345,-1.11746,-0.7687424,0.2129426
884546,-0.9416362,-0.1172161,0.5020757
884748,-0.839072,-0.8800977,0.7540904
884948,-0.9172161,-1.251282,0.8234432
885148,-0.5968254,-1.486691,1.263004
885349,-1.256166,-0.613431,0.230525
885549,-1.293285,0.2021978,0.4659341
885749,-0.7179487,-1.089133,0.8136752
885960,-0.7384615,-1.412454,0.5948718
886160,-1.213187,-0.795116,0.4923077
886361,-1.061783,-0.5001221,0.417094
886561,-1.347009,0.07032967,0.623199
