Ticks,Tics,TicDelta,Ax-1,Ay-1,Az-1,Ax,Ay,Az,Distance,DistanceDelta,Ax-avg,Ay-avg,Az-avg,DistanceDelta-avg,Ax-avgN,Ay-avgN,Az-avgN,A-mag,DistanceDelta-1
833134,11162,216,-1.70061,-0.7648352,-0.08009768,-1.347009,0.2490843,0.3672772,15.8536,0.1968,-1.4507448,-0.77264958,0.900219824,0.18522,0.039072,-0.0291086,0.01250304,1.418227336,0.1822
833334,11362,200,-1.347009,0.2490843,0.3672772,-1.862759,-1.102808,1.970208,16.036,0.1824,-1.37045172,-0.76620258,0.862320024,0.18542,0.08029308,0.006447,-0.0378998,2.927076381,0.1968
833534,11562,200,-1.862759,-1.102808,1.970208,-1.007082,-1.201465,0.8166056,16.2184,0.1824,-1.31575092,-0.69235642,0.91213688,0.18546,0.0547008,0.07384616,0.049816856,1.767647308,0.1824
833735,11763,201,-1.007082,-1.201465,0.8166056,-0.9347986,-1.010989,1.237607,16.4017,0.1833,-1.30402932,-0.61538452,0.82832735,0.18532,0.0117216,0.0769719,-0.08380953,1.851382799,0.1824
833935,11963,200,-0.9347986,-1.010989,1.237607,-1.427106,-0.3956044,0.1689866,16.5841,0.1824,-1.29250312,-0.48683758,0.69821735,0.18558,0.0115262,0.12854694,-0.13011,1.490533746,0.1833
834150,12178,215,-1.427106,-0.3956044,0.1689866,-1.288401,0.6339438,-0.05177045,16.7802,0.1961,-1.34310132,-0.45597078,0.62886449,0.18584,-0.0505982,0.0308668,-0.06935286,1.436851439,0.1824
834351,12379,201,-1.288401,0.6339438,-0.05177045,-1.805128,-0.4600733,1.319658,16.9639,0.1837,-1.4419536,-0.48859598,0.56302807,0.18572,-0.09885228,-0.0326252,-0.06583642,2.282904241,0.1961
834552,12580,201,-1.805128,-0.4600733,1.319658,-1.260073,-1.047131,0.4698413,17.1476,0.1837,-1.4267156,-0.4880099,0.59623929,0.18598,0.015238,0.00058608,0.03321122,1.704411377,0.1837
834752,12780,200,-1.260073,-1.047131,0.4698413,-1.42906,-1.174115,0.9084249,17.3303,0.1827,-1.4732112,-0.39697206,0.52630034,0.18532,-0.0464956,0.09103784,-0.06993895,2.060581063,0.1837
834953,12981,201,-1.42906,-1.174115,0.9084249,-1.350916,-0.392674,0.3350427,17.514,0.1837,-1.30871796,-0.41943848,0.41748474,0.1851,0.16449324,-0.02246642,-0.1088156,1.446174443,0.1827
835164,13192,211,-1.350916,-0.392674,0.3350427,-1.520879,1.089133,-0.4014652,17.7068,0.1928,-1.24854708,-0.46984128,0.51301588,0.18488,0.06017088,-0.0504028,0.09553114,1.913232325,0.1837
835364,13392,200,-1.520879,1.089133,-0.4014652,-0.9826618,-0.5724054,0.77558,17.8894,0.1826,-1.23682548,-0.40009766,0.45753358,0.18504,0.0117216,0.06974362,-0.0554823,1.37651607,0.1928
835564,13592,200,-0.9826618,-0.5724054,0.77558,-0.9592186,-1.299145,0.947497,18.072,0.1826,-1.22256408,-0.39521366,0.4471795,0.185,0.0142614,0.004884,-0.01035408,1.872332401,0.1826
835765,13793,201,-0.9592186,-1.299145,0.947497,-1.370452,-0.8253969,0.6310134,18.2555,0.1835,-1.16610508,-0.5372405,0.42275948,0.1856,0.056459,-0.14202684,-0.02442002,1.719766449,0.1826
835966,13994,201,-1.370452,-0.8253969,0.6310134,-1.279609,-0.368254,0.2832723,18.439,0.1835,-1.13934074,-0.53704514,0.4442491,0.20384,0.02676434,0.00019536,0.02148962,1.361342498,0.1835
836180,14208,214,-1.279609,-0.368254,0.2832723,-1.238584,0.3789988,-0.5235653,18.6348,0.1958,-1.11433464,-0.57514054,0.45128206,0.2218,0.0250061,-0.0380954,0.00703296,1.397086625,0.1835
836381,14409,201,-1.238584,0.3789988,-0.5235653,-0.8488401,-0.5714286,0.8830281,18.9086,0.2738,-1.15575104,-0.56830292,0.4049817,0.23958,-0.0414164,0.00683762,-0.04630036,1.351591205,0.1958
836581,14609,200,-0.8488401,-0.5714286,0.8830281,-0.8341881,-1.489622,0.9826618,19.181,0.2724,-1.09655696,-0.510476296,0.43018316,0.25734,0.05919408,0.057826624,0.02520146,1.969890277,0.2738
836781,14809,200,-0.8341881,-1.489622,0.9826618,-1.577534,-0.7912088,0.3995116,19.4534,0.2724,-1.17470096,-0.728302916,0.49504274,0.27834,-0.078144,-0.21782662,0.06485958,1.809484569,0.2724
836981,15009,200,-1.577534,-0.7912088,0.3995116,-0.9836386,-0.07912088,0.4092796,19.7257,0.2723,-1.13641036,-0.745689976,0.45616606,0.26722,0.0382906,-0.01738706,-0.03887668,1.068323359,0.2724
837202,15230,221,-0.9836386,-0.07912088,0.4092796,-1.629304,-0.7101343,-0.1992674,20.0265,0.3008,-1.20927974,-0.774212576,0.5354823,0.25618,-0.07286938,-0.0285226,0.07931624,1.788471343,0.2723
837403,15431,201,-1.629304,-0.7101343,-0.1992674,-0.6573871,-0.6583639,0.6886447,20.2447,0.2182,-1.21221014,-0.812307816,0.53235654,0.24536,-0.0029304,-0.03809524,-0.00312576,1.157511273,0.3008
837603,15631,200,-0.6573871,-0.6583639,0.6886447,-1.198535,-1.632235,1.379243,20.4619,0.2172,-1.25714302,-0.7343591,0.48078146,0.23454,-0.04493288,0.077948716,-0.05157508,2.450099691,0.2182
837804,15832,201,-1.198535,-1.632235,1.379243,-1.592186,-0.981685,0.3838828,20.6802,0.2183,-1.23018342,-0.76073274,0.56927964,0.22216,0.0269596,-0.02637364,0.08849818,1.909483622,0.2172
838005,16033,201,-1.592186,-0.981685,0.3838828,-1.208303,0.3106227,0.1514042,20.8984,0.2182,-1.3249332,-0.76307706,0.56967036,0.2224,-0.09474978,-0.00234432,0.00039072,1.25674414,0.2183
838225,16253,220,-1.208303,0.3106227,0.1514042,-1.494506,-0.8420025,0.2432235,21.1373,0.2389,-1.27589776,-0.68766786,0.53606836,0.2226,0.04903544,0.0754092,-0.033602,1.732534001,0.2182
838426,16454,201,-1.494506,-0.8420025,0.2432235,-1.131136,-0.6700855,0.6905983,21.3567,0.2194,-1.23877916,-0.69704506,0.51750914,0.22258,0.0371186,-0.0093772,-0.01855922,1.485062032,0.2389
838626,16654,200,-1.131136,-0.6700855,0.6905983,-0.9533578,-1.255189,1.211233,21.5749,0.2182,-1.22061056,-0.81406582,0.54837604,0.2226,0.0181686,-0.11702076,0.0308669,1.98783196,0.2194
